Security Id,State,Market Cap
ABB,Karnataka,162159.71
AEGISLOG,Gujarat,29840.27
AREandM,Andhra Pradesh,28304.87
BOMDYEING,Maharashtra,4285.60
ATUL,Gujarat,20603.34
BAJAJELEC,Maharashtra,11511.77
BAJAJHIND,Uttar Pradesh,5053.24
FORCEMOT,Maharashtra,10676.68
BAJFINANCE,Maharashtra,431613.75
BALRAMCHIN,West Bengal,9018.57
CENTURYTEX,Maharashtra,24680.84
BASF,Maharashtra,23276.64
BATAINDIA,West Bengal,19600.45
BEML,Karnataka,19448.40
BEL,Karnataka,225068.09
BLUESTARCO,Maharashtra,33774.29
CESC,West Bengal,22468.42
CHAMBLFERT,Rajasthan,19964.50
EXIDEIND,West Bengal,46690.50
CIPLA,Maharashtra,120324.22
CRISIL,Maharashtra,31424.97
CGPOWER,Maharashtra,100105.95
DABUR,NCT of Delhi,113153.22
ARVIND,Gujarat,9774.51
BHEL,NCT of Delhi,103330.23
HINDPETRO,Maharashtra,73760.97
IFCI,NCT of Delhi,18104.35
MRPL,Karnataka,37882.42
CHENNPETRO,Tamil Nadu,15663.99
SBIN,Maharashtra,796075.38
SAIL,NCT of Delhi,59039.67
TITAN,Tamil Nadu,289462.68
IDBI,Maharashtra,97427.52
DHAMPURSUG,Uttar Pradesh,1441.47
DRREDDY,Telangana,111520.44
EIDPARRY,Tamil Nadu,13655.54
PGHL,Maharashtra,8533.74
ELECTCAST,Odisha,11380.74
ESABINDIA,Tamil Nadu,10025.17
EPL,Maharashtra,7075.97
FINCABLES,Maharashtra,23292.66
UFLEX,NCT of Delhi,3868.01
GODFRYPHLP,Maharashtra,21825.49
GODREJIND,Maharashtra,29802.18
KANSAINER,Maharashtra,21975.80
GHCL,Gujarat,5047.71
HDFCBANK,Maharashtra,1222853.50
HEROMOTOCO,NCT of Delhi,108092.75
HFCL,Himachal Pradesh,16619.59
HSCL,West Bengal,19792.42
HCC,Maharashtra,7741.71
HINDOILEXP,Gujarat,3179.13
AGI,West Bengal,5046.40
HINDZINC,Rajasthan,274117.57
INFY,Karnataka,753406.33
INGERRAND,Karnataka,13085.09
IONEXCHANG,Maharashtra,9116.80
JISLJALEQS,Maharashtra,4655.59
JSWSTEEL,Maharashtra,220213.13
KAJARIACER,Haryana,21984.02
WHIRLPOOL,Maharashtra,25576.09
KIRLOSBROS,Maharashtra,17258.74
KIRLFER,Maharashtra,10176.38
KOTAKBANK,Maharashtra,361807.14
KSB,Maharashtra,16818.63
LGBBROSLTD,Tamil Nadu,4458.51
TRENT,Maharashtra,184497.99
LAXMIMACH,Tamil Nadu,16592.52
LICHSGFIN,Maharashtra,43080.93
LUPIN,Maharashtra,81842.34
RAMCOCEM,Tamil Nadu,18380.00
MAHSEAMLES,Maharashtra,8588.86
MAHSCOOTER,Maharashtra,10659.43
MFSL,Punjab,35201.71
MOREPENLAB,Himachal Pradesh,2778.20
MRF,Tamil Nadu,54481.13
HEIDELBERG,Haryana,5141.85
NCC,Telangana,19629.62
VEDL,Maharashtra,165285.15
GRASIM,Madhya Pradesh,187607.26
PEL,Maharashtra,21086.67
NIITLTD,Haryana,1513.90
ONGC,NCT of Delhi,406846.23
RELIANCE,Maharashtra,2109580.68
PIDILITIND,Maharashtra,159624.50
BIRLACORPN,West Bengal,11694.42
PRSMJOHNSN,Telangana,8119.14
RAIN,Telangana,5425.26
RALLIS,Maharashtra,6213.28
PATANJALI,Maharashtra,56816.90
JINDALSAW,Uttar Pradesh,17201.17
JKLAKSHMI,Rajasthan,9943.71
SHREECEM,Rajasthan,99896.05
RELINFRA,Maharashtra,7247.22
TATAPOWER,Maharashtra,133932.66
SUNDRMFAST,Tamil Nadu,29197.34
SUNFLAG,Maharashtra,4685.71
SPLPETRO,Maharashtra,16428.23
TATAELXSI,Karnataka,43275.90
ACC,Gujarat,49351.43
THERMAX,Maharashtra,57862.30
TIRUMALCHM,Maharashtra,3051.17
TORNTPHARM,Gujarat,100598.39
AMBUJACEM,Gujarat,166630.30
HINDALCO,Maharashtra,148967.98
WSTCSTPAPR,Karnataka,4358.57
PGHH,Maharashtra,54717.76
FEDERALBNK,Kerala,47244.27
TATASTEEL,Maharashtra,199922.33
SKFINDIA,Maharashtra,27937.39
ASHOKLEY,Tamil Nadu,66744.99
CUMMINSIND,Maharashtra,99792.00
TATACOMM,Maharashtra,51442.50
ABBOTINDIA,Maharashtra,59180.47
BAJAJHLDNG,Maharashtra,108218.47
BHARATFORG,Maharashtra,74726.88
ESCORTS,Haryana,43645.71
LT,Maharashtra,502046.41
MandM,Maharashtra,345955.94
BOSCHLTD,Karnataka,101174.98
BPCL,Maharashtra,134167.16
SIEMENS,Maharashtra,247630.00
TATAMOTORS,Maharashtra,333511.42
VOLTAS,Maharashtra,49042.08
GESHIP,Maharashtra,19378.27
DEEPAKFERT,Maharashtra,9551.15
GLAXO,Maharashtra,43268.84
GNFC,Gujarat,9886.90
SANOFI,Maharashtra,14736.90
PFIZER,Maharashtra,23225.89
GSFC,Gujarat,9683.00
HINDUNILVR,Maharashtra,641156.46
AKZOINDIA,West Bengal,12967.15
NOCIL,Maharashtra,4932.71
TATACHEM,Maharashtra,26734.12
NESTLEIND,NCT of Delhi,250815.84
TATACONSUM,West Bengal,113711.31
ASIANPAINT,Maharashtra,281375.88
BRITANNIA,West Bengal,141575.16
COLPAL,Maharashtra,84311.47
EIHOTEL,West Bengal,25014.57
INDHOTEL,Maharashtra,81605.37
CASTROLIND,Maharashtra,24881.37
ITC,West Bengal,593116.65
APOLLOTYRE,Kerala,33466.64
CEATLTD,Maharashtra,10979.17
FINPIPE,Maharashtra,19973.15
TATAINVEST,Maharashtra,31948.91
BBTC,Maharashtra,15219.69
GREAVESCOT,Maharashtra,3602.30
BORORENEW,Maharashtra,6182.27
BALKRISIND,Maharashtra,60160.31
KESORAMIND,West Bengal,6439.57
VTL,Punjab,15372.53
PHOENIXLTD,Maharashtra,70635.71
SWANENERGY,Maharashtra,21913.77
SRF,NCT of Delhi,70335.68
BBL,Maharashtra,4916.86
ZENSARTECH,Maharashtra,17492.24
CHOLAHLDNG,Tamil Nadu,27775.10
EICHERMOT,NCT of Delhi,133064.99
GMMPFAUDLR,Gujarat,6380.55
KIRLPNU,Maharashtra,8646.82
NESCO,Maharashtra,6404.11
WESTLIFE,Maharashtra,13294.34
ZEEL,Maharashtra,13408.85
ELECON,Gujarat,15116.70
GABRIEL,Maharashtra,6817.34
SCHAEFFLER,Maharashtra,60895.13
GRINDWELL,Maharashtra,28830.93
BAYERCROP,Maharashtra,29657.74
COROMANDEL,Telangana,46959.59
DEEPAKNTR,Gujarat,38203.69
PCBL,West Bengal,10484.02
SUDARSCHEM,Maharashtra,6171.96
UNICHEMLAB,Maharashtra,3674.48
ALKYLAMINE,Maharashtra,10336.39
ASTRAZEN,Karnataka,15944.38
JBCHEPHARM,Maharashtra,27836.69
TI,Maharashtra,4707.34
SDBL,NCT of Delhi,2130.57
WIPRO,Karnataka,294057.27
GILLETTE,Maharashtra,25335.01
VIPIND,Maharashtra,6632.25
APOLLOHOSP,Tamil Nadu,92423.34
TVSSRICHAK,Tamil Nadu,3298.01
BERGEPAINT,West Bengal,61111.03
GRAPHITE,West Bengal,10434.03
ITDCEM,Maharashtra,8640.92
GARFIBRES,Maharashtra,7469.66
HEG,Madhya Pradesh,7908.99
SUPREMEIND,Maharashtra,73037.91
VSTIND,Telangana,7330.51
CANFINHOME,Karnataka,11520.49
SHRIRAMFIN,Tamil Nadu,106228.86
CHOLAFIN,Tamil Nadu,119902.42
VAKRANGEE,Maharashtra,2192.13
UPL,Gujarat,41720.70
SUNTECK,Maharashtra,8825.07
JAICORPLTD,Maharashtra,6518.76
LLOYDSME,Maharashtra,37546.77
SEQUENT,Maharashtra,3471.53
AVANTIFEED,Andhra Pradesh,8413.85
ADANIENT,Gujarat,345460.24
NAVA,Telangana,12104.10
SBCL,Himachal Pradesh,3690.13
CARBORUNIV,Tamil Nadu,32683.40
MMTC,NCT of Delhi,13128.00
HINDCOPPER,West Bengal,29977.74
NLCINDIA,Tamil Nadu,38499.97
WELSPUNLIV,Gujarat,16656.80
GANECOS,Uttar Pradesh,3630.58
ASAHIINDIA,NCT of Delhi,15059.42
ANANTRAJ,Haryana,16140.66
USHAMART,West Bengal,11284.59
HONAUT,Maharashtra,47422.04
HBLPOWER,Telangana,16573.49
MOTHERSON,Maharashtra,131866.50
HAVELLS,NCT of Delhi,111403.52
SYMPHONY,Gujarat,7677.33
TTKPRESTIG,Tamil Nadu,12191.80
RAJRATAN,Madhya Pradesh,2952.33
KEI,NCT of Delhi,37105.93
HNDFDS,Maharashtra,6626.35
CCL,Andhra Pradesh,8011.68
JAMNAAUTO,Haryana,4982.78
TVSHLTD,Tamil Nadu,25731.37
RATNAMANI,Gujarat,24576.36
VESUVIUS,West Bengal,10571.01
ICIL,Maharashtra,7507.25
TRIDENT,Punjab,18900.90
ALOKINDS,Dadra and Nagar Haveli,12681.22
ELGIEQUIP,Tamil Nadu,21098.22
TIMKEN,Karnataka,29126.57
PRAJIND,Maharashtra,12776.85
HLEGLAS,Gujarat,2962.72
KPIL,Gujarat,21504.62
SAFARI,Maharashtra,10275.50
DCMSHRIRAM,NCT of Delhi,15402.42
3MINDIA,Karnataka,42303.94
JMFINANCIL,Maharashtra,9028.87
RIIL,Maharashtra,1895.05
LINDEINDIA,West Bengal,69561.65
SCI,Maharashtra,14297.70
ITI,Karnataka,28480.69
NFL,NCT of Delhi,7233.58
PIIND,Rajasthan,58282.52
MASTEK,Gujarat,8359.78
POONAWALLA,Maharashtra,31426.01
POLYPLEX,Uttarakhand,3202.03
IOLCP,Punjab,2378.16
VINATIORGA,Maharashtra,19680.92
AARTIIND,Gujarat,24821.55
GAEL,Gujarat,6196.64
RCF,Maharashtra,11960.60
AARTIDRUGS,Maharashtra,4799.93
MARKSANS,Maharashtra,8383.53
IPCALAB,Maharashtra,30697.60
NEULANDLAB,Telangana,10458.16
SUNPHARMA,Gujarat,380285.30
HIKAL,Maharashtra,4165.72
CAPLIPOINT,Tamil Nadu,11419.03
AUROPHARMA,Telangana,78298.98
NATCOPHARM,Telangana,21849.61
MPHASIS,Karnataka,54233.62
NMDC,Telangana,67711.65
BLUEDART,Maharashtra,19489.18
CONFIPET,Maharashtra,2546.78
LAOPALA,West Bengal,3526.47
STYLAMIND,Chandigarh,3295.04
GUJALKALI,Gujarat,5668.60
INDIACEM,Tamil Nadu,10561.30
JKTYRE,Rajasthan,11594.38
JUBLPHARMA,Uttar Pradesh,11279.49
SANGHVIMOV,Maharashtra,4699.35
PRIVISCL,Maharashtra,5870.54
GENUSPOWER,Uttar Pradesh,10447.64
RELAXO,NCT of Delhi,20465.24
SHILPAMED,Karnataka,6076.24
KRBL,NCT of Delhi,7026.92
IOC,Maharashtra,235259.83
BALAMINES,Maharashtra,7399.90
PATELENG,Maharashtra,4974.22
EMAMILTD,West Bengal,34698.30
MANAPPURAM,Kerala,18761.23
ZYDUSWELL,Gujarat,13654.82
CONCOR,NCT of Delhi,62431.35
CHOICEIN,Maharashtra,7570.42
RAJESHEXPO,Karnataka,8947.85
EVEREADY,West Bengal,2840.98
HATSUN,Tamil Nadu,27563.98
JINDWORLD,Gujarat,7619.78
SOMANYCERA,West Bengal,3114.22
CGCL,Maharashtra,17534.10
FDC,Maharashtra,7853.96
MARICO,Maharashtra,86501.02
APOLLOPIPE,NCT of Delhi,2543.22
POLYMED,NCT of Delhi,20016.28
BANKBARODA,Gujarat,130163.19
WELCORP,Gujarat,16512.30
BANKINDIA,Maharashtra,55132.81
GAIL,NCT of Delhi,145967.21
VAIBHAVGBL,Rajasthan,5222.81
JKPAPER,Gujarat,9774.52
SAREGAMA,West Bengal,10200.59
ICICIBANK,Gujarat,874625.45
CYIENT,Telangana,20915.55
ENGINERSIN,NCT of Delhi,15034.63
GMDCLTD,Gujarat,12702.51
INDUSINDBK,Maharashtra,111653.59
JandKBANK,Jammu and Kashmir,12157.05
CUB,Tamil Nadu,11587.81
AXISBANK,Gujarat,402017.65
SOUTHBANK,Kerala,7142.13
SONATSOFTW,Maharashtra,19153.01
NATIONALUM,Odisha,34124.62
APARINDS,Gujarat,32548.39
HCLTECH,NCT of Delhi,434620.60
JINDALSTEL,Haryana,97520.42
GLENMARK,Maharashtra,39816.75
MAHLIFE,Maharashtra,9279.77
ZYDUSLIFE,Gujarat,116270.34
AJANTPHARM,Maharashtra,29149.71
TVSMOTOR,Tamil Nadu,114161.06
SUBEXLTD,Karnataka,1816.96
TCI,Telangana,7550.10
TRIVENI,Uttar Pradesh,8679.30
TTML,Maharashtra,21308.71
STLTECH,Maharashtra,6832.08
IOB,Tamil Nadu,124132.14
BSOFT,Maharashtra,20486.51
GODREJCP,Maharashtra,147695.26
UNITDSPR,Karnataka,94828.37
OLECTRA,Telangana,14234.44
CERA,Gujarat,11468.77
BHARTIARTL,Haryana,827886.86
PNB,NCT of Delhi,128938.99
OFSS,Maharashtra,94759.12
KAMAHOLD,NCT of Delhi,8767.31
APTECHT,Maharashtra,1198.72
UNIONBANK,Maharashtra,103702.53
UBL,Karnataka,54570.58
GRANULES,Telangana,12416.55
CANBK,Karnataka,102997.25
DIVISLAB,Telangana,120347.53
ASTRAMICRO,Telangana,8544.58
RADICO,Uttar Pradesh,22174.68
MARUTI,NCT of Delhi,394801.60
NAVINFLUOR,Maharashtra,17841.14
UCOBANK,West Bengal,66475.13
JSL,Haryana,63190.37
SUPRAJIT,Karnataka,7193.05
IGL,NCT of Delhi,37086.04
PETRONET,NCT of Delhi,51450.00
BIOCON,Karnataka,40742.36
PTC,NCT of Delhi,6179.17
MAHABANK,Maharashtra,46758.31
RKFORGE,West Bengal,15535.90
DATAMATICS,Maharashtra,3885.42
STAR,Maharashtra,8740.82
ULTRACEMCO,Maharashtra,330808.15
UNOMINDA,NCT of Delhi,55122.54
TCS,Maharashtra,1563809.79
COFORGE,NCT of Delhi,40262.37
CENTURYPLY,West Bengal,15304.39
WELENT,Gujarat,6504.76
NTPC,NCT of Delhi,361346.26
JBMA,Haryana,23071.20
DWARKESH,Uttar Pradesh,1371.23
INDOCO,Maharashtra,3057.68
JPPOWER,Madhya Pradesh,12322.52
GOKEX,Karnataka,6485.29
IIFL,Maharashtra,20019.69
SHOPERSTOP,Maharashtra,8653.41
JKCEMENT,Uttar Pradesh,33194.13
YESBANK,Maharashtra,78621.18
KTKBANK,Karnataka,8447.08
IDFC,Tamil Nadu,18223.82
SUZLON,Gujarat,74037.62
RENUKA,Karnataka,10095.43
AIAENG,Gujarat,40864.30
PVRINOX,Maharashtra,13844.98
GSPL,Gujarat,17846.01
KEC,Maharashtra,22549.22
MandMFIN,Maharashtra,35867.43
SOLARINDS,Maharashtra,98273.10
SUNTV,Tamil Nadu,31288.35
GPIL,Chhattisgarh,15021.24
ALLCARGO,Maharashtra,6289.81
GMRINFRA,Haryana,56146.36
TECHM,Maharashtra,146843.70
CIEINDIA,Maharashtra,22116.83
VOLTAMP,Gujarat,11645.06
ACE,Haryana,16351.31
DCBBANK,Maharashtra,4143.82
NAUKRI,NCT of Delhi,88652.06
TORNTPOWER,Gujarat,73097.01
LTFOODS,NCT of Delhi,9905.39
SOBHA,Karnataka,19958.65
TANLA,Telangana,13117.23
LUMAXTECH,NCT of Delhi,3727.89
NETWORK18,Maharashtra,8375.59
TV18BRDCST,Maharashtra,7068.31
REDINGTON,Tamil Nadu,15709.76
FSL,Maharashtra,17417.80
PFC,NCT of Delhi,177891.99
AHLUCONT,NCT of Delhi,9365.20
INDIANB,Tamil Nadu,75551.21
IDEA,Gujarat,109081.37
PAGEIND,Karnataka,44977.66
ASTRAL,Gujarat,60381.98
EMBDL,Haryana,8327.12
CAMLINFINE,Maharashtra,1899.40
ICRA,NCT of Delhi,5822.25
DISHTV,Maharashtra,2752.67
FORTIS,Punjab,36966.53
DELTACORP,Maharashtra,3622.94
TIMETECHNO,Daman and Diu,7378.60
HGS,Maharashtra,4088.67
DLF,Haryana,202282.47
SPARC,Gujarat,7236.83
CENTRALBK,Maharashtra,55193.41
KPRMILL,Tamil Nadu,28678.19
MOTILALOFS,Maharashtra,31640.33
POWERGRID,NCT of Delhi,311570.23
KSCL,Telangana,4942.78
PAISALO,NCT of Delhi,6486.57
RELIGARE,NCT of Delhi,7763.54
ADANIPORTS,Gujarat,320067.79
EDELWEISS,Maharashtra,5753.44
JYOTHYLAB,Maharashtra,18285.15
ECLERX,Maharashtra,12053.62
BRIGADE,Karnataka,29388.92
RPOWER,Maharashtra,10885.99
JKIL,Maharashtra,6159.17
KNRCON,Telangana,9709.62
IRB,Maharashtra,40642.47
VGUARD,Kerala,19452.12
RECLTD,NCT of Delhi,158401.59
DHANI,Haryana,3329.85
TITAGARH,West Bengal,21480.47
KIRIINDUS,Gujarat,1742.41
BAJAJ-AUTO,Maharashtra,265220.77
BAJAJFINSV,Maharashtra,263449.25
ZFCVINDIA,Tamil Nadu,28698.05
ISGEC,Haryana,10111.41
MOLDTKPAC,Telangana,2611.79
MHRIL,Maharashtra,8919.45
ADANIPOWER,Gujarat,266765.18
NHPC,Haryana,106427.14
GLOBUSSPR,NCT of Delhi,2411.29
OIL,Assam,92806.11
RTNPOWER,NCT of Delhi,8189.41
JSWENERGY,Maharashtra,122789.47
GODREJPROP,Maharashtra,91490.47
JUBLFOOD,Uttar Pradesh,37304.35
DBREALTY,Maharashtra,10618.54
MANINFRA,Maharashtra,7161.42
PERSISTENT,Maharashtra,71017.05
SJVN,Himachal Pradesh,55744.14
BAJAJCON,Rajasthan,3824.81
GPPL,Gujarat,10345.61
WABAG,Tamil Nadu,7654.40
ASHOKA,Maharashtra,6230.65
JWL,Madhya Pradesh,26172.43
OBEROIRLTY,Maharashtra,60936.10
PRESTIGE,Karnataka,70285.08
COALINDIA,West Bengal,302343.45
GRAVITA,Rajasthan,9281.11
MOIL,Maharashtra,10004.35
KIRLOSENG,Maharashtra,17958.27
TEXRAIL,West Bengal,10569.90
FCL,Maharashtra,4009.69
ZENTEC,Telangana,11407.75
MUTHOOTFIN,Kerala,73682.68
LTF,Maharashtra,44480.98
TDPOWERSYS,Karnataka,5664.78
APLLTD,Gujarat,21386.07
PGEL,NCT of Delhi,9130.33
TRITURBINE,Uttar Pradesh,19160.03
APLAPOLLO,NCT of Delhi,41661.99
RHIM,Maharashtra,12121.63
MCX,Maharashtra,19732.03
SCHNEIDER,Gujarat,18202.99
NBCC,NCT of Delhi,31203.00
RTNINDIA,NCT of Delhi,10275.79
JTLIND,Chandigarh,3734.28
CIGNITITEC,Telangana,3682.51
CARERATING,Maharashtra,3003.86
INDUSTOWER,Haryana,110492.41
VMART,NCT of Delhi,6251.07
REPCOHOME,Tamil Nadu,3348.91
JUSTDIAL,Maharashtra,10332.82
ORIENTCEM,Odisha,6636.72
ABFRL,Maharashtra,31850.44
IBULHSGFIN,NCT of Delhi,12462.52
WONDERLA,Karnataka,5063.31
SHARDACROP,Maharashtra,4478.55
INTELLECT,Tamil Nadu,15039.82
MINDACORP,NCT of Delhi,11289.33
GREENLAM,NCT of Delhi,7112.88
INOXWIND,Himachal Pradesh,19974.12
VRLLOG,Karnataka,5037.75
PNCINFRA,NCT of Delhi,13054.00
ADANIENSOL,Gujarat,112675.92
SYNGENE,Karnataka,30441.86
POWERMECH,Telangana,9492.32
GUJGASLTD,Gujarat,42872.94
IDFCFIRSTB,Tamil Nadu,54163.50
INDIGO,NCT of Delhi,164656.22
ALKEM,Maharashtra,62132.55
LALPATHLAB,NCT of Delhi,24982.75
NH,Karnataka,25581.89
TEAMLEASE,Karnataka,4851.24
BESTAGRO,NCT of Delhi,1391.73
INFIBEAM,Gujarat,7989.91
CROMPTON,Maharashtra,27620.62
MGL,Maharashtra,16912.73
QUESS,Karnataka,8992.99
LLOYDSENGG,Maharashtra,9282.95
LTIM,Maharashtra,171241.66
DBL,Madhya Pradesh,7417.49
RBLBANK,Maharashtra,14629.83
BLS,NCT of Delhi,14215.35
LTTS,Maharashtra,51477.49
ICICIPRULI,Maharashtra,92311.16
ENDURANCE,Maharashtra,36670.80
PNBHOUSING,NCT of Delhi,20357.50
VBL,NCT of Delhi,202699.71
SFL,Maharashtra,10868.65
TCIEXP,Telangana,4477.44
LAURUSLABS,Andhra Pradesh,24076.16
PRICOLLTD,Tamil Nadu,5836.90
DMART,Maharashtra,328083.34
HUDCO,NCT of Delhi,62699.51
STARCEMENT,Meghalaya,8277.61
TEJASNET,Karnataka,23922.33
ERIS,Gujarat,13689.15
AUBANK,Rajasthan,46930.50
SIS,Bihar,6335.95
COCHINSHIP,Kerala,66809.36
KIOCL,Karnataka,27281.95
ABCAPITAL,Gujarat,56597.94
DIXON,Uttar Pradesh,67978.95
DCAL,Gujarat,2503.04
ICICIGI,Maharashtra,92718.63
SBILIFE,Maharashtra,164889.60
SHAREINDIA,Gujarat,5937.94
GODREJAGRO,Maharashtra,15385.66
MASFIN,Gujarat,5249.45
IEX,NCT of Delhi,15317.82
GICRE,Maharashtra,68816.34
TIINDIA,Tamil Nadu,77520.12
NAM-INDIA,Maharashtra,40401.28
MAHLOG,Maharashtra,3698.34
NIACL,Maharashtra,44051.04
HDFCLIFE,Maharashtra,137662.68
NEWGEN,NCT of Delhi,14178.59
AMBER,Punjab,14165.86
GALAXYSURF,Maharashtra,9913.33
ASTERDM,Karnataka,15984.42
HGINFRA,Rajasthan,11041.62
BDL,Telangana,54097.29
BANDHANBNK,West Bengal,31027.29
HAL,Karnataka,324362.56
ISEC,Maharashtra,25080.20
MIDHANI,Telangana,8896.78
LEMONTREE,NCT of Delhi,11154.83
ORIENTELEC,Odisha,5761.95
ADANIGREEN,Gujarat,274156.42
